"broader.spec","category","applicants","admitted.all","adm.fed","adm.subj","adm.local","adm.com","competition","cat_fact"
"Гуманитарные науки","Заочная",20845,10493,3056,120,22,7295,1.98656247021824,"Заочная"
"Гуманитарные науки","Очная",145119,25182,13032,791,42,11317,5.76280676673815,"Очная"
"Гуманитарные науки","Очно-заочная",4151,1321,153,25,0,1143,3.14231642694928,"Очно-заочная"
"Здравоохранение и медицинские науки","Заочная",465,347,0,0,0,347,1.34005763688761,"Заочная"
"Здравоохранение и медицинские науки","Очная",1946,869,63,0,0,806,2.23935558112773,"Очная"
"Здравоохранение и медицинские науки","Очно-заочная",66,29,0,0,0,29,2.27586206896552,"Очно-заочная"
"Инженерное дело, технологии и технические науки","Заочная",172797,97798,19510,217,0,78071,1.76687662324383,"Заочная"
"Инженерное дело, технологии и технические науки","Очная",917854,142048,123001,1455,10,17582,6.46157636855148,"Очная"
"Инженерное дело, технологии и технические науки","Очно-заочная",16445,7592,2698,13,0,4881,2.16609589041096,"Очно-заочная"
"Искусство и культура","Заочная",12699,5994,2265,455,2,3272,2.11861861861862,"Заочная"
"Искусство и культура","Очная",43247,11478,6302,799,35,4342,3.76781669280362,"Очная"
"Искусство и культура","Очно-заочная",3507,1398,105,23,0,1270,2.50858369098712,"Очно-заочная"
"Математические и естественные науки","Заочная",1184,758,149,0,0,609,1.56200527704485,"Заочная"
"Математические и естественные науки","Очная",172026,29478,26730,243,0,2505,5.83574190922044,"Очная"
"Математические и естественные науки","Очно-заочная",3374,1396,693,0,0,703,2.41690544412607,"Очно-заочная"
"Науки об обществе","Заочная",378422,243824,11788,395,0,231641,1.55202933263337,"Заочная"
"Науки об обществе","Очная",1071401,150518,41324,2026,34,107134,7.1180921883097,"Очная"
"Науки об обществе","Очно-заочная",27310,9296,1385,28,0,7883,2.93782271944923,"Очно-заочная"
"Образование и педагогические науки","Заочная",102976,47285,14172,1945,0,31168,2.17777307814317,"Заочная"
"Образование и педагогические науки","Очная",275450,44300,30375,3683,10,10232,6.21783295711061,"Очная"
"Образование и педагогические науки","Очно-заочная",3509,975,224,106,0,645,3.59897435897436,"Очно-заочная"
"Сельское хозяйство и сельскохозяйственные науки","Заочная",28765,15797,9601,50,0,6146,1.82091536367665,"Заочная"
"Сельское хозяйство и сельскохозяйственные науки","Очная",70357,18310,17736,66,0,508,3.84254505734571,"Очная"
"Сельское хозяйство и сельскохозяйственные науки","Очно-заочная",240,137,70,0,0,67,1.75182481751825,"Очно-заочная"
